1,伯特利,603596.SH,B,23.68,5600,2020-01-03,33.15,0,5,38.15,-132646.15,1,公告预增,1
2,伯特利,603596.SH,B,25.35,5400,2020-01-10,34.22,0,5,39.22,-136929.22,1,公告预增,1
3,伯特利,603596.SH,B,27.43,4800,2020-01-21,32.92,0,5,37.92,-131701.92,1,公告预增,1
4,伯特利,603596.SH,S,26.5,-7900,2020-02-03,52.34,209.35,5,266.69,209083.31,1,公告预增,1
5,伯特利,603596.SH,S,30.21,-3900,2020-02-05,29.45,117.82,5,152.27,117666.73,1,公告预增,1
6,华兰生物,002007.SZ,B,43.5,3600,2020-02-07,39.15,0,5,44.15,-156644.15,1,血液抗体,1
7,华兰生物,002007.SZ,B,42.48,1900,2020-02-10,20.18,0,5,25.18,-80737.18,1,血液抗体,1
8,华兰生物,002007.SZ,B,41.24,1800,2020-02-11,18.56,0,5,23.56,-74255.56,1,血液抗体,1
9,华兰生物,002007.SZ,S,44.5,-3600,2020-02-14,40.05,160.2,5,205.25,159994.75,1,血液抗体,1
10,我武生物,300357.SZ,B,47.51,1600,2020-02-14,19,0,5,24,-76040,1,抗过敏龙头,1
11,我武生物,300357.SZ,B,47.87,1100,2020-02-14,13.16,0,5,18.16,-52675.16,1,抗过敏龙头,1
12,华兰生物,002007.SZ,S,41.9,-3700,2020-02-17,38.76,155.03,5,198.79,154831.21,1,血液抗体,1
13,伯特利,603596.SH,B,30.9,6000,2020-02-18,46.35,0,5,51.35,-185451.35,1,公告预增,1
14,我武生物,300357.SZ,S,49,-2700,2020-02-21,33.08,132.3,5,170.38,132129.62,1,抗过敏龙头,1
15,飞荣达,300602.SZ,B,55.82,2400,2020-02-24,33.49,0,5,38.49,-134006.49,1,5G预增,1
16,飞荣达,300602.SZ,S,58.58,-2400,2020-02-25,35.15,140.59,5,180.74,140411.26,1,5G预增,1
17,恩捷股份,002812.SZ,B,67,1000,2020-02-25,16.75,0,5,21.75,-67021.75,1,新能源电池,1
18,恩捷股份,002812.SZ,B,63.61,1100,2020-02-26,17.49,0,5,22.49,-69993.49,1,新能源电池,1
19,伯特利,603596.SH,S,34.87,-300,2020-02-26,2.62,10.46,5,18.08,10442.92,1,公告预增,1
20,伯特利,603596.SH,B,33.52,2900,2020-02-26,24.3,0,5,29.3,-97237.3,1,公告预增,1
21,伯特利,603596.SH,S,34.64,-6300,2020-02-27,54.56,218.23,5,277.79,217954.21,1,公告预增,1
22,飞荣达,300602.SZ,B,59.94,1800,2020-03-02,26.97,0,5,31.97,-107923.97,1,5G预增,1
23,飞荣达,300602.SZ,B,63.35,1700,2020-03-03,26.92,0,5,31.92,-107726.92,1,5G预增,1
24,飞荣达,300602.SZ,S,56.84,-3500,2020-03-05,49.73,198.94,5,253.67,198686.33,1,5G预增,1
25,伯特利,603596.SH,S,29.43,-6300,2020-03-09,46.35,185.41,5,236.76,185172.24,1,公告预增,1
26,恩捷股份,002812.SZ,S,55.9,-2100,2020-03-09,29.35,117.39,5,151.74,117238.26,1,新能源电池,1
27,伯特利,603596.SH,B,22.87,3900,2019-12-20,22.3,0,5,27.3,-89220.3,1,公告预增,2
28,伯特利,603596.SH,B,23.71,1500,2020-01-06,8.89,0,5,13.89,-35578.89,1,公告预增,2
29,伯特利,603596.SH,B,24.49,12900,2020-01-09,78.98,0,6.32,85.3,-316006.3,1,公告预增,2
30,伯特利,603596.SH,S,25.31,-9100,2020-01-14,57.58,230.32,5,292.9,230028.1,1,公告预增,2
31,我武生物,300357.SZ,B,48.55,2800,2020-02-18,33.98,0,5,38.98,-135978.98,1,抗过敏龙头,2
32,伯特利,603596.SH,B,31.08,4500,2020-02-20,34.97,0,5,39.97,-139899.97,1,公告预增,2
33,伯特利,603596.SH,S,31.5,-4500,2020-02-20,35.44,141.75,5,182.19,141567.81,1,公告预增,2
34,我武生物,300357.SZ,S,49.1,-2800,2020-02-21,34.37,137.48,5,176.85,137303.15,1,抗过敏龙头,2
35,伯特利,603596.SH,B,32.92,8400,2020-02-21,69.13,0,5.53,74.66,-276602.66,1,公告预增,2
36,伯特利,603596.SH,S,33.33,-8400,2020-02-21,69.99,279.97,5.6,355.56,279616.44,1,公告预增,2
37,西南证券,600369.SH,B,5.45,51700,2020-02-21,70.44,0,5.64,76.08,-281841.08,1,追热点,2
38,伯特利,603596.SH,S,34.8,-4600,2020-02-26,40.02,160.08,5,205.1,159874.9,1,公告预增,2
39,西南证券,600369.SH,S,5.1,-51700,2020-02-28,65.92,263.67,5.27,334.86,263335.14,1,追热点,2
40,伯特利,603596.SH,B,31.3,3000,2020-02-28,23.48,0,5,28.48,-93928.48,1,公告预增,2
41,伯特利,603596.SH,S,31.5,-2800,2020-02-28,22.05,88.2,5,115.25,88084.75,1,公告预增,2
42,伯特利,603596.SH,B,32.68,10000,2020-03-03,81.7,0,6.54,88.24,-326888.24,1,公告预增,2
43,飞荣达,300602.SZ,B,62.37,2100,2020-03-03,32.74,0,5,37.74,-131014.74,1,5G预增,2
44,飞荣达,300602.SZ,B,59.05,2300,2020-03-04,33.95,0,5,38.95,-135853.95,1,5G预增,2
45,恩捷股份,002812.SZ,B,58.6,2400,2020-03-04,35.16,0,5,40.16,-140680.16,1,新能源电池,2
46,飞荣达,300602.SZ,S,56.98,-4400,2020-03-05,62.68,250.71,5.01,318.4,250393.6,1,5G预增,2
47,伯特利,603596.SH,S,29.3,-5300,2020-03-09,38.82,155.29,5,199.11,155090.89,1,公告预增,2
48,恩捷股份,002812.SZ,S,55.91,-2400,2020-03-09,33.55,134.18,5,172.73,134011.27,1,新能源电池,2
49,山大华特,000915.SZ,B,26.78,1500,2020-03-09,10.04,0,5,15.04,-40185.04,1,追热点,2
50,山大华特,000915.SZ,S,25.81,-1500,2020-03-10,9.68,38.72,5,53.4,38661.6,1,追热点,2
51,伯特利,603596.SH,S,27.79,-4700,2020-03-10,32.65,130.61,5,168.26,130444.74,1,公告预增,2
52,智动力,300686.SZ,B,28.76,6900,2020-03-11,49.61,0,5,54.61,-198498.61,1,公告预增数倍CANSLIM,2
53,智动力,300686.SZ,B,28.98,16900,2020-03-11,122.44,0,9.8,132.24,-489894.24,1,公告预增数倍CANSLIM,1
54,康尼机电,603111.SH,B,7.71,25900,2020-03-12,49.92,0,5,54.92,-199743.92,1,底部突破形态,2
55,伯特利,603596.SH,S,26.96,-3200,2020-03-16,40.71,162.84,5,208.55,162631.45,1,公告预增,2
56,智动力,300686.SZ,S,23.6,-6900,2020-03-16,40.71,162.84,5,208.55,162631.45,1,公告预增数倍 CANSLIM,2
57,康尼机电,603111.SH,S,6.97,-25900,2020-03-16,45.13,180.52,5,230.65,180292.35,1,追热点,2
59,伯特利,603596.SH,B,24.98,1600,2020-03-17,9.99,0,5,14.99,-39982.99,"",公告预增,2
60,伯特利,603596.SH,B,24.72,1600,2020-03-17,9.89,0,5,14.89,-39566.89,"",公告预增,2
61,伯特利,603596.SH,S,25,-1200,2020-03-17,7.5,30,5,42.5,29957.5,"",公告预增,2
62,伯特利,603596.SH,S,25.01,-2000,2020-03-18,12.51,50.02,5,67.53,49952.47,"",公告预增,2
63,智动力,300686.SZ,B,22.4,1600,2020-03-17,8.96,0,5,13.96,-35853.96,"",公告预增数倍 CANSLIM,1
64,智动力,300686.SZ,B,22.22,5100,2020-03-17,28.33,0,5,33.33,-113355.33,"",公告预增数倍 CANSLIM,1
65,智动力,300686.SZ,S,22.03,-1000,2020-03-17,5.51,22.03,5,32.54,21997.46,"",公告预增数倍 CANSLIM,1
66,智动力,300686.SZ,S,22.31,-6800,2020-03-17,37.93,151.71,5,194.64,151513.36,"",公告预增数倍 CANSLIM,1
67,智动力,300686.SZ,S,22.81,-3200,2020-03-18,18.25,72.99,5,96.24,72895.76,"",公告预增数倍 CANSLIM,1
68,智动力,300686.SZ,S,24.45,-7100,2020-03-16,43.4,173.59,5,221.99,173373.01,"",公告预增数倍 CANSLIM,1
69,智动力,300686.SZ,B,21.75,1100,2020-03-17,5.98,0,5,10.98,-23935.98,"",公告预增数倍 CANSLIM,1
70,智动力,300686.SZ,S,22.2,-3300,2020-03-23,18.32,73.26,5,96.58,73163.42,"",公告预增数倍 CANSLIM,1
71,智动力,300686.SZ,S,21.77,-1600,2020-03-23,8.71,34.83,5,48.54,34783.46,"",公告预增数倍 CANSLIM,1
72,智动力,300686.SZ,B,22.65,2000,2020-03-25,11.33,0,5,16.33,-45316.33,"",公告预增,1
73,智动力,300686.SZ,B,22.49,3700,2020-03-26,20.8,0,5,25.8,-83238.8,"",公告预增数倍 CANSLIM,1
74,智动力,300686.SZ,S,20.85,-7400,2020-03-30,38.57,154.29,5,197.86,154092.14,"",公告预增数倍 CANSLIM,1
75,伯特利,603596.SH,B,23.65,2700,2020-03-26,15.96,0,5,20.96,-63875.96,"",公告预增,2
76,伯特利,603596.SH,B,23.3,3000,2020-03-27,17.48,0,5,22.48,-69922.48,"",公告预增,2
77,伯特利,603596.SH,B,22.63,3000,2020-04-02,16.97,0,5,21.97,-67911.97,"",公告预增,1
78,伯特利,603596.SH,B,23.46,10900,2020-04-02,63.93,0,5.11,69.04,-255783.04,"",公告预增,1
79,健帆生物,300529.SZ,B,101.67,500,2020-04-03,12.71,0,5,17.71,-50852.71,"",医药器械 透析仪,1
80,健帆生物,300529.SZ,B,102.13,1100,2020-04-03,28.09,0,5,33.09,-112376.09,"",医药器械 透析仪,2
